VFD Motor Startup Simulation Data
Generated:,2025-10-10 12:38:24
Motor Rating:,800 HP
Load Type:,constant_torque

Time (s),Frequency (Hz),Speed (RPM),Slip (%),Torque (Nm),Load Torque (Nm),Current (A),Power Output (kW),Power Input (kW),Efficiency (%)
9.850,19.70,385.5,34.77,3679.8,1101.0,1045.2,44.44,732.85,6.1
9.880,19.76,390.3,34.16,3701.1,1105.5,1050.9,45.18,736.82,6.1
9.910,19.82,395.1,33.55,3721.9,1110.1,1056.4,45.93,740.68,6.2
9.940,19.88,399.9,32.94,3741.9,1114.7,1061.7,46.69,744.41,6.3
9.970,19.94,404.8,32.33,3761.1,1119.4,1066.8,47.45,747.99,6.3
10.000,20.00,409.7,31.71,3779.5,1124.0,1071.7,48.23,751.42,6.4
10.030,20.06,414.6,31.10,3797.0,1128.7,1076.4,49.01,754.67,6.5
10.060,20.12,419.6,30.49,3813.4,1133.4,1080.7,49.80,757.74,6.6
10.090,20.18,424.6,29.87,3828.8,1138.1,1084.8,50.60,760.60,6.7
10.120,20.24,429.5,29.26,3843.0,1142.9,1088.6,51.41,763.25,6.7
10.150,20.30,434.5,28.65,3855.9,1147.6,1092.0,52.22,765.65,6.8
10.180,20.36,439.5,28.04,3867.4,1152.4,1095.1,53.04,767.81,6.9
10.210,20.42,444.6,27.43,3877.5,1157.2,1097.8,53.87,769.69,7.0
10.240,20.48,449.6,26.83,3886.0,1162.0,1100.1,54.71,771.28,7.1
10.270,20.54,454.6,26.22,3892.9,1166.7,1101.9,55.55,772.57,7.2
10.300,20.60,459.7,25.63,3898.1,1171.5,1103.3,56.39,773.54,7.3
10.330,20.66,464.7,25.03,3901.5,1176.3,1104.2,57.24,774.17,7.4
10.360,20.72,469.7,24.44,3903.0,1181.1,1104.6,58.09,774.45,7.5
10.390,20.78,474.7,23.85,3902.5,1185.9,1104.4,58.95,774.36,7.6
10.420,20.84,479.7,23.28,3900.0,1190.6,1103.8,59.81,773.90,7.7
10.450,20.90,484.7,22.70,3895.5,1195.4,1102.6,60.67,773.05,7.8
10.480,20.96,489.6,22.13,3888.8,1200.1,1100.8,61.53,771.80,8.0
10.511,21.02,494.6,21.58,3879.9,1204.8,1098.4,62.40,770.14,8.1
10.541,21.08,499.5,21.02,3868.9,1209.4,1095.5,63.26,768.08,8.2
10.571,21.14,504.3,20.48,3855.7,1214.1,1092.0,64.12,765.62,8.4
10.601,21.20,509.2,19.95,3840.3,1218.7,1087.9,64.98,762.74,8.5
10.631,21.26,514.0,19.42,3822.7,1223.2,1083.2,65.83,759.47,8.7
10.661,21.32,518.7,18.91,3803.1,1227.7,1078.0,66.69,755.80,8.8
10.691,21.38,523.4,18.41,3781.3,1232.2,1072.2,67.53,751.76,9.0
10.721,21.44,528.0,17.91,3757.6,1236.6,1065.9,68.38,747.34,9.1
10.751,21.50,532.6,17.43,3732.0,1240.9,1059.1,69.21,742.58,9.3
10.781,21.56,537.1,16.96,3704.7,1245.2,1051.8,70.04,737.49,9.5
10.811,21.62,541.6,16.51,3675.7,1249.5,1044.1,70.86,732.09,9.7
10.841,21.68,546.0,16.06,3645.1,1253.7,1036.0,71.67,726.41,9.9
10.871,21.74,550.3,15.63,3613.2,1257.8,1027.6,72.48,720.48,10.1
10.901,21.80,554.5,15.22,3580.1,1261.8,1018.8,73.27,714.33,10.3
10.931,21.86,558.7,14.81,3545.9,1265.8,1009.8,74.06,707.99,10.5
10.961,21.92,562.8,14.42,3510.9,1269.7,1000.5,74.83,701.49,10.7
10.991,21.98,566.8,14.05,3475.2,1273.5,991.1,75.59,694.87,10.9
11.021,22.04,570.8,13.69,3438.9,1277.3,981.5,76.34,688.15,11.1
11.051,22.10,574.6,13.34,3402.3,1280.9,971.8,77.08,681.37,11.3
11.081,22.16,578.4,13.00,3365.5,1284.5,962.1,77.81,674.57,11.5
11.111,22.22,582.1,12.68,3328.6,1288.1,952.4,78.52,667.76,11.8
11.141,22.28,585.7,12.38,3291.9,1291.5,942.7,79.22,660.99,12.0
11.171,22.34,589.3,12.08,3255.5,1294.9,933.2,79.91,654.28,12.2
11.201,22.40,592.8,11.80,3219.5,1298.2,923.7,80.59,647.64,12.4
11.231,22.46,596.2,11.53,3184.1,1301.4,914.4,81.25,641.12,12.7
11.261,22.52,599.5,11.28,3149.3,1304.6,905.3,81.90,634.72,12.9
11.291,22.58,602.7,11.03,3115.2,1307.7,896.4,82.54,628.47,13.1
11.321,22.64,605.9,10.80,3082.1,1310.7,887.7,83.17,622.38,13.4
11.351,22.70,609.0,10.58,3049.8,1313.7,879.2,83.78,616.47,13.6
11.381,22.76,612.1,10.37,3018.6,1316.6,871.1,84.39,610.75,13.8
11.411,22.82,615.0,10.17,2988.4,1319.4,863.2,84.98,605.22,14.0
11.441,22.88,618.0,9.98,2959.3,1322.2,855.6,85.56,599.90,14.3
11.471,22.94,620.8,9.80,2931.3,1324.9,848.3,86.13,594.78,14.5
11.502,23.00,623.6,9.63,2904.4,1327.6,841.3,86.69,589.89,14.7
11.532,23.06,626.3,9.47,2878.7,1330.2,834.7,87.25,585.20,14.9
11.562,23.12,629.0,9.32,2854.2,1332.7,828.3,87.79,580.74,15.1
11.592,23.18,631.7,9.18,2830.8,1335.2,822.2,88.32,576.48,15.3
11.622,23.24,634.2,9.04,2808.6,1337.7,816.5,88.84,572.44,15.5
11.652,23.30,636.8,8.92,2787.5,1340.1,811.0,89.36,568.61,15.7
11.682,23.36,639.3,8.79,2767.6,1342.5,805.8,89.87,564.99,15.9
11.712,23.42,641.7,8.68,2748.7,1344.8,800.9,90.37,561.57,16.1
11.742,23.48,644.1,8.57,2730.9,1347.1,796.3,90.86,558.34,16.3
11.772,23.54,646.5,8.47,2714.1,1349.3,792.0,91.35,555.30,16.5
11.802,23.60,648.8,8.37,2698.3,1351.6,787.9,91.83,552.44,16.6
11.832,23.66,651.1,8.28,2683.5,1353.7,784.1,92.30,549.77,16.8
11.862,23.72,653.4,8.20,2669.6,1355.9,780.5,92.77,547.26,17.0
11.892,23.78,655.6,8.11,2656.7,1358.0,777.2,93.24,544.91,17.1
11.922,23.84,657.8,8.04,2644.5,1360.1,774.1,93.69,542.72,17.3
11.952,23.90,660.0,7.96,2633.2,1362.2,771.2,94.15,540.68,17.4
11.982,23.96,662.2,7.90,2622.7,1364.2,768.4,94.60,538.78,17.6
12.012,24.02,664.3,7.83,2612.9,1366.3,765.9,95.04,537.02,17.7
12.042,24.08,666.4,7.77,2603.8,1368.3,763.6,95.48,535.38,17.8
12.072,24.14,668.5,7.71,2595.4,1370.3,761.4,95.92,533.87,18.0
12.102,24.20,670.5,7.66,2587.7,1372.2,759.4,96.36,532.47,18.1
12.132,24.26,672.6,7.60,2580.5,1374.2,757.6,96.79,531.19,18.2
12.162,24.32,674.6,7.55,2573.9,1376.1,755.9,97.22,530.00,18.3
12.192,24.38,676.6,7.51,2567.9,1378.0,754.4,97.64,528.91,18.5
12.222,24.44,678.6,7.46,2562.4,1379.9,752.9,98.06,527.92,18.6
12.252,24.50,680.6,7.42,2557.3,1381.8,751.7,98.48,527.01,18.7
12.282,24.56,682.6,7.38,2552.7,1383.7,750.5,98.90,526.18,18.8
12.312,24.62,684.5,7.34,2548.5,1385.5,749.4,99.32,525.44,18.9
12.342,24.68,686.5,7.30,2544.8,1387.4,748.4,99.73,524.76,19.0
12.372,24.74,688.4,7.27,2541.4,1389.2,747.6,100.15,524.15,19.1
12.402,24.80,690.3,7.23,2538.4,1391.0,746.8,100.56,523.61,19.2
12.432,24.86,692.2,7.20,2535.7,1392.9,746.1,100.97,523.12,19.3
12.462,24.92,694.1,7.17,2533.3,1394.7,745.5,101.38,522.69,19.4
12.492,24.98,696.0,7.14,2531.2,1396.5,745.0,101.79,522.32,19.5
12.523,25.05,697.9,7.11,2529.3,1398.3,744.5,102.19,521.99,19.6
12.553,25.11,699.8,7.08,2527.8,1400.1,744.1,102.60,521.71,19.7
12.583,25.17,701.7,7.06,2526.5,1401.8,743.8,103.01,521.47,19.8
12.613,25.23,703.5,7.03,2525.4,1403.6,743.5,103.41,521.27,19.8
12.643,25.29,705.4,7.01,2524.5,1405.4,743.2,103.82,521.11,19.9
12.673,25.35,707.3,6.98,2523.8,1407.2,743.1,104.22,520.99,20.0
12.703,25.41,709.1,6.96,2523.3,1408.9,742.9,104.62,520.90,20.1
12.733,25.47,710.9,6.94,2523.0,1410.7,742.9,105.02,520.84,20.2
12.763,25.53,712.8,6.92,2522.8,1412.4,742.8,105.43,520.81,20.2
12.793,25.59,714.6,6.90,2522.8,1414.2,742.8,105.83,520.81,20.3
12.823,25.65,716.5,6.88,2522.9,1415.9,742.8,106.23,520.83,20.4
12.853,25.71,718.3,6.86,2523.1,1417.7,742.9,106.63,520.87,20.5
12.883,25.77,720.1,6.84,2523.5,1419.4,743.0,107.03,520.94,20.5
12.913,25.83,721.9,6.82,2524.0,1421.1,743.1,107.44,521.03,20.6
12.943,25.89,723.7,6.80,2524.6,1422.9,743.3,107.84,521.13,20.7
12.973,25.95,725.6,6.79,2525.3,1424.6,743.5,108.24,521.26,20.8
13.003,26.01,727.4,6.77,2526.1,1426.3,743.7,108.64,521.40,20.8
13.033,26.07,729.2,6.75,2526.9,1428.0,743.9,109.04,521.56,20.9
13.063,26.13,731.0,6.74,2527.9,1429.7,744.1,109.45,521.73,21.0
13.093,26.19,732.8,6.72,2528.9,1431.5,744.4,109.85,521.91,21.0
13.123,26.25,734.6,6.70,2530.0,1433.2,744.7,110.25,522.11,21.1
13.153,26.31,736.4,6.69,2531.2,1434.9,745.0,110.65,522.32,21.2
13.183,26.37,738.2,6.67,2532.4,1436.6,745.3,111.06,522.54,21.3
13.213,26.43,740.0,6.66,2533.7,1438.3,745.6,111.46,522.77,21.3
13.243,26.49,741.8,6.64,2535.0,1440.0,745.9,111.86,523.00,21.4
13.273,26.55,743.6,6.63,2536.4,1441.7,746.3,112.27,523.25,21.5
13.303,26.61,745.4,6.62,2537.8,1443.4,746.7,112.67,523.51,21.5
13.333,26.67,747.2,6.60,2539.3,1445.2,747.0,113.08,523.77,21.6
13.363,26.73,749.0,6.59,2540.8,1446.9,747.4,113.48,524.04,21.7
13.393,26.79,750.8,6.58,2542.3,1448.6,747.8,113.89,524.32,21.7
13.423,26.85,752.6,6.56,2543.9,1450.3,748.2,114.29,524.60,21.8
13.453,26.91,754.3,6.55,2545.5,1452.0,748.6,114.70,524.89,21.9
13.483,26.97,756.1,6.54,2547.1,1453.7,749.1,115.10,525.19,21.9
13.514,27.03,757.9,6.52,2548.8,1455.4,749.5,115.51,525.48,22.0
13.544,27.09,759.7,6.51,2550.5,1457.1,749.9,115.92,525.79,22.0
13.574,27.15,761.5,6.50,2552.2,1458.8,750.4,116.33,526.10,22.1
13.604,27.21,763.3,6.49,2554.0,1460.5,750.8,116.74,526.41,22.2
13.634,27.27,765.1,6.47,2555.7,1462.2,751.2,117.14,526.72,22.2
13.664,27.33,766.8,6.46,2557.5,1463.9,751.7,117.55,527.04,22.3
13.694,27.39,768.6,6.45,2559.3,1465.6,752.2,117.96,527.37,22.4
13.724,27.45,770.4,6.44,2561.1,1467.3,752.6,118.37,527.69,22.4
13.754,27.51,772.2,6.43,2562.9,1469.0,753.1,118.79,528.02,22.5
13.784,27.57,774.0,6.41,2564.8,1470.7,753.6,119.20,528.35,22.6
13.814,27.63,775.8,6.40,2566.6,1472.3,754.0,119.61,528.68,22.6
13.844,27.69,777.5,6.39,2568.5,1474.0,754.5,120.02,529.02,22.7
13.874,27.75,779.3,6.38,2570.4,1475.7,755.0,120.43,529.36,22.8
13.904,27.81,781.1,6.37,2572.2,1477.4,755.5,120.85,529.70,22.8
13.934,27.87,782.9,6.36,2574.1,1479.1,756.0,121.26,530.04,22.9
13.964,27.93,784.7,6.35,2576.1,1480.8,756.5,121.68,530.38,22.9
13.994,27.99,786.4,6.34,2578.0,1482.5,757.0,122.09,530.73,23.0
14.024,28.05,788.2,6.33,2579.9,1484.2,757.4,122.51,531.07,23.1
14.054,28.11,790.0,6.31,2581.8,1485.9,757.9,122.93,531.42,23.1
14.084,28.17,791.8,6.30,2583.8,1487.6,758.4,123.34,531.77,23.2
14.114,28.23,793.6,6.29,2585.7,1489.3,758.9,123.76,532.12,23.3
14.144,28.29,795.3,6.28,2587.7,1491.0,759.4,124.18,532.47,23.3
14.174,28.35,797.1,6.27,2589.6,1492.7,759.9,124.60,532.82,23.4
14.204,28.41,798.9,6.26,2591.6,1494.4,760.4,125.02,533.18,23.4
14.234,28.47,800.7,6.25,2593.5,1496.1,761.0,125.44,533.53,23.5
14.264,28.53,802.4,6.24,2595.5,1497.7,761.5,125.86,533.88,23.6
14.294,28.59,804.2,6.23,2597.5,1499.4,762.0,126.28,534.24,23.6
14.324,28.65,806.0,6.22,2599.5,1501.1,762.5,126.70,534.60,23.7
14.354,28.71,807.8,6.21,2601.5,1502.8,763.0,127.12,534.95,23.8
14.384,28.77,809.6,6.20,2603.4,1504.5,763.5,127.55,535.31,23.8
14.414,28.83,811.3,6.19,2605.4,1506.2,764.0,127.97,535.67,23.9
14.444,28.89,813.1,6.18,2607.4,1507.9,764.5,128.39,536.03,24.0
14.474,28.95,814.9,6.17,2609.4,1509.6,765.0,128.82,536.39,24.0
14.505,29.01,816.7,6.16,2611.4,1511.3,765.5,129.24,536.75,24.1
14.535,29.07,818.4,6.15,2613.4,1513.0,766.1,129.67,537.11,24.1
14.565,29.13,820.2,6.14,2615.4,1514.6,766.6,130.10,537.47,24.2
14.595,29.19,822.0,6.13,2617.4,1516.3,767.1,130.52,537.83,24.3
14.625,29.25,823.8,6.12,2619.4,1518.0,767.6,130.95,538.19,24.3
14.655,29.31,825.5,6.11,2621.4,1519.7,768.1,131.38,538.55,24.4
14.685,29.37,827.3,6.10,2623.4,1521.4,768.6,131.81,538.92,24.5
14.715,29.43,829.1,6.09,2625.4,1523.1,769.2,132.24,539.28,24.5
14.745,29.49,830.9,6.08,2627.5,1524.8,769.7,132.67,539.64,24.6
14.775,29.55,832.6,6.07,2629.5,1526.5,770.2,133.10,540.01,24.6
14.805,29.61,834.4,6.07,2631.5,1528.2,770.7,133.53,540.37,24.7
14.835,29.67,836.2,6.06,2633.5,1529.9,771.2,133.96,540.73,24.8
14.865,29.73,838.0,6.05,2635.5,1531.5,771.7,134.40,541.10,24.8
14.895,29.79,839.7,6.04,2637.5,1533.2,772.3,134.83,541.46,24.9
14.925,29.85,841.5,6.03,2639.6,1534.9,772.8,135.26,541.82,25.0
14.955,29.91,843.3,6.02,2641.6,1536.6,773.3,135.70,542.19,25.0
14.985,29.97,845.1,6.01,2643.6,1538.3,773.8,136.13,542.55,25.1
15.015,30.03,846.8,6.00,2645.6,1540.0,774.3,136.57,542.92,25.2
15.045,30.09,848.6,5.99,2647.6,1541.7,774.9,137.00,543.28,25.2
15.075,30.15,850.4,5.98,2649.7,1543.4,775.4,137.44,543.65,25.3
15.105,30.21,852.2,5.97,2651.7,1545.1,775.9,137.88,544.02,25.3
15.135,30.27,853.9,5.97,2653.7,1546.7,776.4,138.32,544.38,25.4
15.165,30.33,855.7,5.96,2655.7,1548.4,777.0,138.75,544.75,25.5
15.195,30.39,857.5,5.95,2657.8,1550.1,777.5,139.19,545.11,25.5
15.225,30.45,859.3,5.94,2659.8,1551.8,778.0,139.63,545.48,25.6
15.255,30.51,861.0,5.93,2661.8,1553.5,778.5,140.07,545.84,25.7
15.285,30.57,862.8,5.92,2663.9,1555.2,779.0,140.52,546.21,25.7
15.315,30.63,864.6,5.91,2665.9,1556.9,779.6,140.96,546.58,25.8
15.345,30.69,866.4,5.90,2667.9,1558.6,780.1,141.40,546.94,25.9
15.375,30.75,868.1,5.90,2669.9,1560.3,780.6,141.84,547.31,25.9
15.405,30.81,869.9,5.89,2672.0,1561.9,781.1,142.29,547.68,26.0
15.435,30.87,871.7,5.88,2674.0,1563.6,781.7,142.73,548.04,26.0
15.465,30.93,873.4,5.87,2676.0,1565.3,782.2,143.18,548.41,26.1
15.495,30.99,875.2,5.86,2678.1,1567.0,782.7,143.62,548.78,26.2
15.526,31.05,877.0,5.85,2680.1,1568.7,783.2,144.07,549.14,26.2
15.556,31.11,878.8,5.85,2682.1,1570.4,783.7,144.51,549.51,26.3
15.586,31.17,880.5,5.84,2684.1,1572.1,784.3,144.96,549.88,26.4
15.616,31.23,882.3,5.83,2686.2,1573.8,784.8,145.41,550.25,26.4
15.646,31.29,884.1,5.82,2688.2,1575.4,785.3,145.86,550.61,26.5
15.676,31.35,885.9,5.81,2690.2,1577.1,785.8,146.31,550.98,26.6
15.706,31.41,887.6,5.81,2692.3,1578.8,786.4,146.76,551.35,26.6
15.736,31.47,889.4,5.80,2694.3,1580.5,786.9,147.21,551.72,26.7
15.766,31.53,891.2,5.79,2696.3,1582.2,787.4,147.66,552.08,26.7
15.796,31.59,893.0,5.78,2698.4,1583.9,787.9,148.11,552.45,26.8
15.826,31.65,894.7,5.77,2700.4,1585.6,788.5,148.56,552.82,26.9
15.856,31.71,896.5,5.77,2702.4,1587.3,789.0,149.01,553.19,26.9
15.886,31.77,898.3,5.76,2704.5,1588.9,789.5,149.47,553.56,27.0
15.916,31.83,900.0,5.75,2706.5,1590.6,790.0,149.92,553.92,27.1
15.946,31.89,901.8,5.74,2708.5,1592.3,790.6,150.38,554.29,27.1
15.976,31.95,903.6,5.73,2710.6,1594.0,791.1,150.83,554.66,27.2
16.006,32.01,905.4,5.73,2712.6,1595.7,791.6,151.29,555.03,27.3
16.036,32.07,907.1,5.72,2714.6,1597.4,792.1,151.74,555.40,27.3
16.066,32.13,908.9,5.71,2716.7,1599.1,792.7,152.20,555.77,27.4
16.096,32.19,910.7,5.70,2718.7,1600.8,793.2,152.66,556.13,27.4
16.126,32.25,912.5,5.70,2720.7,1602.4,793.7,153.12,556.50,27.5
16.156,32.31,914.2,5.69,2722.8,1604.1,794.2,153.58,556.87,27.6
16.186,32.37,916.0,5.68,2724.8,1605.8,794.8,154.04,557.24,27.6
16.216,32.43,917.8,5.67,2726.9,1607.5,795.3,154.50,557.61,27.7
16.246,32.49,919.5,5.67,2728.9,1609.2,795.8,154.96,557.98,27.8
16.276,32.55,921.3,5.66,2730.9,1610.9,796.3,155.42,558.35,27.8
16.306,32.61,923.1,5.65,2733.0,1612.6,796.9,155.88,558.71,27.9
16.336,32.67,924.9,5.64,2735.0,1614.2,797.4,156.34,559.08,28.0
16.366,32.73,926.6,5.64,2737.0,1615.9,797.9,156.81,559.45,28.0
16.396,32.79,928.4,5.63,2739.1,1617.6,798.5,157.27,559.82,28.1
16.426,32.85,930.2,5.62,2741.1,1619.3,799.0,157.73,560.19,28.2
16.456,32.91,932.0,5.61,2743.1,1621.0,799.5,158.20,560.56,28.2
16.486,32.97,933.7,5.61,2745.2,1622.7,800.0,158.66,560.93,28.3
16.517,33.03,935.5,5.60,2747.2,1624.4,800.6,159.13,561.30,28.4
16.547,33.09,937.3,5.59,2749.3,1626.0,801.1,159.60,561.67,28.4
16.577,33.15,939.0,5.59,2751.3,1627.7,801.6,160.07,562.04,28.5
16.607,33.21,940.8,5.58,2753.3,1629.4,802.1,160.53,562.41,28.5
16.637,33.27,942.6,5.57,2755.4,1631.1,802.7,161.00,562.78,28.6
16.667,33.33,944.4,5.56,2757.4,1632.8,803.2,161.47,563.15,28.7
16.697,33.39,946.1,5.56,2759.4,1634.5,803.7,161.94,563.51,28.7
16.727,33.45,947.9,5.55,2761.5,1636.2,804.2,162.41,563.88,28.8
16.757,33.51,949.7,5.54,2763.5,1637.9,804.8,162.88,564.25,28.9
16.787,33.57,951.4,5.54,2765.6,1639.5,805.3,163.36,564.62,28.9
16.817,33.63,953.2,5.53,2767.6,1641.2,805.8,163.83,564.99,29.0
16.847,33.69,955.0,5.52,2769.6,1642.9,806.4,164.30,565.36,29.1
16.877,33.75,956.8,5.52,2771.7,1644.6,806.9,164.78,565.73,29.1
16.907,33.81,958.5,5.51,2773.7,1646.3,807.4,165.25,566.10,29.2
16.937,33.87,960.3,5.50,2775.7,1648.0,807.9,165.72,566.47,29.3
16.967,33.93,962.1,5.50,2777.8,1649.7,808.5,166.20,566.84,29.3
16.997,33.99,963.8,5.49,2779.8,1651.3,809.0,166.68,567.21,29.4
17.027,34.05,965.6,5.48,2781.9,1653.0,809.5,167.15,567.58,29.4
17.057,34.11,967.4,5.48,2783.9,1654.7,810.0,167.63,567.95,29.5
17.087,34.17,969.2,5.47,2785.9,1656.4,810.6,168.11,568.32,29.6
17.117,34.23,970.9,5.46,2788.0,1658.1,811.1,168.59,568.69,29.6
17.147,34.29,972.7,5.46,2790.0,1659.8,811.6,169.07,569.06,29.7
17.177,34.35,974.5,5.45,2792.1,1661.5,812.2,169.55,569.43,29.8
17.207,34.41,976.2,5.44,2794.1,1663.1,812.7,170.03,569.80,29.8
17.237,34.47,978.0,5.44,2796.1,1664.8,813.2,170.51,570.17,29.9
17.267,34.53,979.8,5.43,2798.2,1666.5,813.7,170.99,570.55,30.0
17.297,34.59,981.6,5.42,2800.2,1668.2,814.3,171.47,570.92,30.0
17.327,34.65,983.3,5.42,2802.2,1669.9,814.8,171.95,571.29,30.1
17.357,34.71,985.1,5.41,2804.3,1671.6,815.3,172.44,571.66,30.2
17.387,34.77,986.9,5.40,2806.3,1673.3,815.9,172.92,572.03,30.2
17.417,34.83,988.6,5.40,2808.4,1674.9,816.4,173.41,572.40,30.3
17.447,34.89,990.4,5.39,2810.4,1676.6,816.9,173.89,572.77,30.4
17.477,34.95,992.2,5.38,2812.4,1678.3,817.4,174.38,573.14,30.4
17.508,35.02,994.0,5.38,2814.5,1680.0,818.0,174.87,573.51,30.5
17.538,35.08,995.7,5.37,2816.5,1681.7,818.5,175.35,573.88,30.6
17.568,35.14,997.5,5.37,2818.6,1683.4,819.0,175.84,574.25,30.6
17.598,35.20,999.3,5.36,2820.6,1685.0,819.6,176.33,574.62,30.7
17.628,35.26,1001.0,5.35,2822.6,1686.7,820.1,176.82,574.99,30.8
17.658,35.32,1002.8,5.35,2824.7,1688.4,820.6,177.31,575.37,30.8
17.688,35.38,1004.6,5.34,2826.7,1690.1,821.1,177.80,575.74,30.9
17.718,35.44,1006.4,5.33,2828.8,1691.8,821.7,178.29,576.11,30.9
17.748,35.50,1008.1,5.33,2830.8,1693.5,822.2,178.78,576.48,31.0
17.778,35.56,1009.9,5.32,2832.8,1695.2,822.7,179.27,576.85,31.1
17.808,35.62,1011.7,5.32,2834.9,1696.8,823.3,179.77,577.22,31.1
17.838,35.68,1013.4,5.31,2836.9,1698.5,823.8,180.26,577.59,31.2
17.868,35.74,1015.2,5.30,2839.0,1700.2,824.3,180.75,577.96,31.3
17.898,35.80,1017.0,5.30,2841.0,1701.9,824.9,181.25,578.33,31.3
17.928,35.86,1018.7,5.29,2843.1,1703.6,825.4,181.74,578.71,31.4
17.958,35.92,1020.5,5.29,2845.1,1705.3,825.9,182.24,579.08,31.5
17.988,35.98,1022.3,5.28,2847.1,1707.0,826.4,182.74,579.45,31.5
18.018,36.04,1024.1,5.27,2849.2,1708.6,827.0,183.23,579.82,31.6
18.048,36.10,1025.8,5.27,2851.2,1710.3,827.5,183.73,580.19,31.7
18.078,36.16,1027.6,5.26,2853.3,1712.0,828.0,184.23,580.56,31.7
18.108,36.22,1029.4,5.26,2855.3,1713.7,828.6,184.73,580.94,31.8
18.138,36.28,1031.1,5.25,2857.3,1715.4,829.1,185.23,581.31,31.9
18.168,36.34,1032.9,5.25,2859.4,1717.1,829.6,185.73,581.68,31.9
18.198,36.40,1034.7,5.24,2861.4,1718.7,830.2,186.23,582.05,32.0
18.228,36.46,1036.5,5.23,2863.5,1720.4,830.7,186.73,582.42,32.1
18.258,36.52,1038.2,5.23,2865.5,1722.1,831.2,187.23,582.79,32.1
18.288,36.58,1040.0,5.22,2867.5,1723.8,831.7,187.73,583.17,32.2
18.318,36.64,1041.8,5.22,2869.6,1725.5,832.3,188.24,583.54,32.3
18.348,36.70,1043.5,5.21,2871.6,1727.2,832.8,188.74,583.91,32.3
18.378,36.76,1045.3,5.21,2873.7,1728.9,833.3,189.25,584.28,32.4
18.408,36.82,1047.1,5.20,2875.7,1730.5,833.9,189.75,584.65,32.5
18.438,36.88,1048.8,5.19,2877.8,1732.2,834.4,190.26,585.03,32.5
18.468,36.94,1050.6,5.19,2879.8,1733.9,834.9,190.76,585.40,32.6
18.498,37.00,1052.4,5.18,2881.8,1735.6,835.5,191.27,585.77,32.7
18.529,37.06,1054.2,5.18,2883.9,1737.3,836.0,191.78,586.14,32.7
18.559,37.12,1055.9,5.17,2885.9,1739.0,836.5,192.29,586.51,32.8
18.589,37.18,1057.7,5.17,2888.0,1740.6,837.1,192.80,586.89,32.9
18.619,37.24,1059.5,5.16,2890.0,1742.3,837.6,193.31,587.26,32.9
18.649,37.30,1061.2,5.16,2892.0,1744.0,838.1,193.82,587.63,33.0
18.679,37.36,1063.0,5.15,2894.1,1745.7,838.6,194.33,588.00,33.0
18.709,37.42,1064.8,5.14,2896.1,1747.4,839.2,194.84,588.38,33.1
18.739,37.48,1066.5,5.14,2898.2,1749.1,839.7,195.35,588.75,33.2
18.769,37.54,1068.3,5.13,2900.2,1750.8,840.2,195.86,589.12,33.2
18.799,37.60,1070.1,5.13,2902.3,1752.4,840.8,196.38,589.49,33.3
18.829,37.66,1071.8,5.12,2904.3,1754.1,841.3,196.89,589.87,33.4
18.859,37.72,1073.6,5.12,2906.3,1755.8,841.8,197.40,590.24,33.4
18.889,37.78,1075.4,5.11,2908.4,1757.5,842.4,197.92,590.61,33.5
18.919,37.84,1077.2,5.11,2910.4,1759.2,842.9,198.43,590.98,33.6
18.949,37.90,1078.9,5.10,2912.5,1760.9,843.4,198.95,591.36,33.6
18.979,37.96,1080.7,5.10,2914.5,1762.5,844.0,199.47,591.73,33.7
19.009,38.02,1082.5,5.09,2916.6,1764.2,844.5,199.98,592.10,33.8
19.039,38.08,1084.2,5.09,2918.6,1765.9,845.0,200.50,592.47,33.8
19.069,38.14,1086.0,5.08,2920.6,1767.6,845.6,201.02,592.85,33.9
19.099,38.20,1087.8,5.08,2922.7,1769.3,846.1,201.54,593.22,34.0
19.129,38.26,1089.5,5.07,2924.7,1771.0,846.6,202.06,593.59,34.0
19.159,38.32,1091.3,5.07,2926.8,1772.6,847.1,202.58,593.97,34.1
19.189,38.38,1093.1,5.06,2928.8,1774.3,847.7,203.10,594.34,34.2
19.219,38.44,1094.9,5.06,2930.9,1776.0,848.2,203.62,594.71,34.2
19.249,38.50,1096.6,5.05,2932.9,1777.7,848.7,204.15,595.08,34.3
19.279,38.56,1098.4,5.05,2934.9,1779.4,849.3,204.67,595.46,34.4
19.309,38.62,1100.2,5.04,2937.0,1781.1,849.8,205.19,595.83,34.4
19.339,38.68,1101.9,5.04,2939.0,1782.7,850.3,205.72,596.20,34.5
19.369,38.74,1103.7,5.03,2941.1,1784.4,850.9,206.24,596.58,34.6
19.399,38.80,1105.5,5.03,2943.1,1786.1,851.4,206.77,596.95,34.6
19.429,38.86,1107.2,5.02,2945.2,1787.8,851.9,207.29,597.32,34.7
19.459,38.92,1109.0,5.02,2947.2,1789.5,852.5,207.82,597.70,34.8
19.489,38.98,1110.8,5.01,2949.3,1791.2,853.0,208.35,598.07,34.8
19.520,39.04,1112.5,5.01,2951.3,1792.8,853.5,208.88,598.44,34.9
19.550,39.10,1114.3,5.00,2953.3,1794.5,854.1,209.41,598.82,35.0
19.580,39.16,1116.1,5.00,2955.4,1796.2,854.6,209.93,599.19,35.0
19.610,39.22,1117.9,4.99,2957.4,1797.9,855.1,210.46,599.56,35.1
19.640,39.28,1119.6,4.99,2959.5,1799.6,855.7,211.00,599.94,35.2
